host_id,number_of_reviews,count,neighbourhood_group,host_name
47621202,602.5,2,Queens,Dona
4734398,599.3333333,3,Manhattan,Jj
2369681,540,1,Manhattan,Carol
12949460,488,1,Brooklyn,Asa
792159,480,1,Brooklyn,Wanda
37312959,454.6,5,Queens,Maya
2321321,454,1,Queens,Lloyd
277379,448.5,2,Manhattan,Agnes
307962,441,1,Queens,Dennis & Naoko
97086824,434,1,Queens,Miss Dy
8967,430,1,Manhattan,Shunichi
2267153,423,2,Manhattan,John
722320,414,1,Queens,Gladys & Bob
26432133,403.4,5,Queens,Danielle
20116872,401,1,Manhattan,Michael
7256281,396,1,Manhattan,Sne
21546973,394,1,Manhattan,Niko
111841534,392,1,Queens,Malini
462776,388,1,Manhattan,Kyle
465589,385,1,Brooklyn,Amia